VoterId,ElectionDate,ElectionDescription,VotingMethod
801525,11/06/2012,11/06/2012 - STATE GENERAL,P
801525,11/04/2014,11/04/2014 - STATE GENERAL,P
801525,11/08/2016,11/08/2016 - STATE GENERAL,A
801525,11/07/2017,11/07/2017 - SCHOOL DISTRICT GENERAL,P
801525,02/12/2018,02/12/2018 - SPEC ELECT SEN DIST 54,P
801525,08/14/2018,08/14/2018 - STATE PRIMARY,P
801525,11/06/2018,11/06/2018 - STATE GENERAL,P
801525,11/05/2019,11/05/2019 - SCHOOL DISTRICT GENERAL,P
801525,03/03/2020,03/03/2020 - PRESIDENTIAL PRIMARY,P
801525,11/03/2020,11/03/2020 - STATE GENERAL,P
801525,11/02/2021,11/02/2021 - SCHOOL DISTRICT GENERAL,A
801525,11/08/2022,11/08/2022 - STATE GENERAL,P
801164,12/31/1999,SPECIAL ELECTION,P
801164,11/07/2000,STATE GENERAL,P
801164,11/03/1998,STATE GENERAL,P
801164,11/06/2012,11/06/2012 - STATE GENERAL,P
801164,11/04/2014,11/04/2014 - STATE GENERAL,P
801164,11/08/2016,11/08/2016 - STATE GENERAL,A
801164,11/06/2018,11/06/2018 - STATE GENERAL,A
801164,11/03/2020,11/03/2020 - STATE GENERAL,A
801164,11/08/2022,11/08/2022 - STATE GENERAL,P
801408,09/14/2004,09/14/2004 - STATE PRIMARY,P
801408,11/03/1998,STATE GENERAL,P
801408,11/02/2004,11/02/2004 - STATE GENERAL,P
801408,11/05/2002,11-05-2002 STATE GENERAL ELECTION,P
887035,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,A
802946,11/02/2004,11/02/2004 - STATE GENERAL,P
802946,11/05/2002,11-05-2002 STATE GENERAL ELECTION,P
802946,11/07/2000,STATE GENERAL,P
802946,12/31/1999,SPECIAL ELECTION,P
802946,11/04/1997,MUNICIPAL GENERAL,P
802946,11/04/1997,SCHOOL BOARD ELECTION,P
802946,11/05/1996,STATE GENERAL,P
802946,11/02/1993,SCHOOL BOARD ELECTION,P
802946,11/06/2001,2001 GENERAL ELECTION,P
802946,04/23/2002,ISD #239 RUSHFORD-PETERSON BOND,P
802946,01/03/2008,01/03/2008 - SPEC ELECT SEN DIST 25,P
802946,11/04/2008,11/04/2008 - STATE GENERAL,P
802946,11/02/2010,11/02/2010 - STATE GENERAL,P
802946,11/06/2012,11/06/2012 - STATE GENERAL,P
802946,11/04/2014,11/04/2014 - STATE GENERAL,P
802946,05/12/2015,05/12/2015 - SD SPEC ELECT ISD 2143 - WATERVILLE-ELYSIAN-MORRISTOWN,P
802946,11/08/2016,11/08/2016 - STATE GENERAL,P
802946,11/06/2018,11/06/2018 - STATE GENERAL,P
802946,08/11/2020,08/11/2020 - STATE PRIMARY,P
802946,11/03/2020,11/03/2020 - STATE GENERAL,A
802946,11/08/2022,11/08/2022 - STATE GENERAL,P
802486,11/07/2000,STATE GENERAL,P
802486,11/02/2004,11/02/2004 - STATE GENERAL,P
802486,04/02/2002,SCHOOL DISTRICT REFERENDUM ISD#2134,P
802486,11/05/2002,11-05-2002 STATE GENERAL ELECTION,P
802486,12/12/2005,12/12/2005 - SD SPEC ELECT ISD 2134 - UNITED SOUTH CENTRAL,P
802486,11/04/2008,11/04/2008 - STATE GENERAL,P
802486,11/06/2012,11/06/2012 - STATE GENERAL,P
802486,11/08/2016,11/08/2016 - STATE GENERAL,P
802486,11/06/2018,11/06/2018 - STATE GENERAL,P
802486,11/03/2020,11/03/2020 - STATE GENERAL,P
802486,11/08/2022,11/08/2022 - STATE GENERAL,P
801179,09/12/2000,STATE PRIMARY ELECTION,P
801179,11/07/2000,STATE GENERAL,P
801179,12/31/1999,SPECIAL ELECTION,P
801179,11/03/1998,STATE GENERAL,P
801179,11/02/2004,11/02/2004 - STATE GENERAL,P
801179,04/02/2002,SCHOOL DISTRICT REFERENDUM ISD#2134,P
801179,11/05/2002,11-05-2002 STATE GENERAL ELECTION,P
801179,05/24/2005,05/24/2005 - SD SPEC ELECT ISD 2134 - UNITED SOUTH CENTRAL,P
801179,11/08/2005,11/08/2005 - SCHOOL DISTRICT GENERAL,P
